"State","NAICS.id","All establishments","Establishments not operated for the entire year","Establishments operated for the entire year","Score","NAICS.display-label","RCPTOT","PAYANN","PAYQTR1","EMP","ADMIN_PCT","IMPUT_PCT"
"AL","446199",195,22,170,975,"All other health and personal care stores","192012","42360","10187","1169","29.4","10.1"
"AL","447",3061,221,2641,23500.5,"Gasoline stations","9989151","270847","66133","16277","21.7","10.2"
"AL","4471",3061,221,2641,23500.5,"Gasoline stations","9989151","270847","66133","16277","21.7","10.2"
"AL","44711",2851,217,2443,21821.25,"Gasoline stations with convenience stores","7834145","227074","55473","14276","25.0","12.4"
"AL","447110",2851,217,2443,21821.25,"Gasoline stations with convenience stores","7834145","227074","55473","14276","25.0","12.4"
"AL","44719",210,12,198,1679.25,"Other gasoline stations","2155006","43773","10660","2001","9.8","2.2"
"AL","447190",210,12,198,1679.25,"Other gasoline stations","2155006","43773","10660","2001","9.8","2.2"
"AL","448",2323,102,2101,14344.75,"Clothing and clothing accessories stores","2535206","313576","78203","21550","8.9","2.7"
"AL","4481",1594,75,1447,9836.25,"Clothing stores","1806936","220152","54353","16873","7.8","2.6"
"AL","44811",131,11,118,710.25,"Men's clothing stores","102709","17469","4453","813","17.0","3.8"
"AL","448110",131,11,118,710.25,"Men's clothing stores","102709","17469","4453","813","17.0","3.8"
"AL","44812",622,47,559,3561.25,"Women's clothing stores","475696","67350","16048","5077","10.2","3.2"
"AL","448120",622,47,559,3561.25,"Women's clothing stores","475696","67350","16048","5077","10.2","3.2"
"AL","44813",122,16,103,649.25,"Children's and infants' clothing stores","99677","11365","2897","995","10.0","4.4"
"AL","448130",122,16,103,649.25,"Children's and infants' clothing stores","99677","11365","2897","995","10.0","4.4"
"AL","44814",468,22,442,3635.5,"Family clothing stores","930815","96616","24062","8044","4.6","1.4"
"AL","448140",468,22,442,3635.5,"Family clothing stores","930815","96616","24062","8044","4.6","1.4"
"AL","44815",85,7,78,395.5,"Clothing accessories stores","58288","7822","2087","644","6.8","6.4"
"AL","448150",85,7,78,395.5,"Clothing accessories stores","58288","7822","2087","644","6.8","6.4"
"AL","44819",166,17,147,884.5,"Other clothing stores","139751","19530","4806","1300","12.7","4.8"
"AL","448190",166,17,147,884.5,"Other clothing stores","139751","19530","4806","1300","12.7","4.8"
"AL","4482",433,34,393,2888.5,"Shoe stores","436308","49568","12859","2990","3.1","2.0"
"AL","44821",433,34,393,2888.5,"Shoe stores","436308","49568","12859","2990","3.1","2.0"
"AL","448210",433,34,393,2888.5,"Shoe stores","436308","49568","12859","2990","3.1","2.0"
"AL","4483",296,29,261,1620,"Jewelry, luggage, and leather goods stores","291962","43856","10991","1687","24.8","4.0"
"AL","44831",289,27,256,1591.5,"Jewelry stores","285020","43414","10849","1659","25.4","3.9"
"AL","448310",289,27,256,1591.5,"Jewelry stores","285020","43414","10849","1659","25.4","3.9"
"AL","44832",7,2,5,28.5,"Luggage and leather goods stores","6942","442","142","28","3.3","5.6"
"AL","448320",7,2,5,28.5,"Luggage and leather goods stores","6942","442","142","28","3.3","5.6"
"AL","451",615,50,548,3525.75,"Sporting goods, hobby, musical instrument, and book stores","1089202","124687","28057","7387","7.8","3.2"
"AL","4511",467,42,409,2490.5,"Sporting goods, hobby, and musical instrument stores","896080","102359","22427","5697","9.0","3.4"
"AL","45111",260,26,229,1351.75,"Sporting goods stores","586437","61806","12836","3255","9.9","2.5"
"AL","451110",260,26,229,1351.75,"Sporting goods stores","586437","61806","12836","3255","9.9","2.5"
"AL","45112",78,6,72,545.5,"Hobby, toy, and game stores","217322","25467","5877","1563","3.3","2.6"
"AL","451120",78,6,72,545.5,"Hobby, toy, and game stores","217322","25467","5877","1563","3.3","2.6"
"AL","45113",67,10,56,281.5,"Sewing, needlework, and piece goods stores","35459","4822","1215","410","15.5","10.0"
"AL","451130",67,10,56,281.5,"Sewing, needlework, and piece goods stores","35459","4822","1215","410","15.5","10.0"
"AL","45114",62,9,52,311.75,"Musical instrument and supplies stores","56862","10264","2499","469","17.0","10.6"
"AL","451140",62,9,52,311.75,"Musical instrument and supplies stores","56862","10264","2499","469","17.0","10.6"
"AL","4512",148,9,139,1035.25,"Book stores and news dealers","193122","22328","5630","1690","2.0","2.4"
"AL","45121",148,9,139,1035.25,"Book stores and news dealers","193122","22328","5630","1690","2.0","2.4"
"AL","451211",145,9,136,1016.75,"Book stores","D","D","D","g","D","D"
"AL","451212",3,0,3,18.5,"News dealers and newsstands","D","D","D","b","D","D"
"AL","452",1349,71,1271,11998.75,"General merchandise stores","11678598","1086294","266819","53855","0.2","0.2"
"AL","4521",121,4,117,1170,"Department stores","1707654","201093","48830","11199","0.0","0.0"
"AL","45211",121,4,117,1170,"Department stores","1707654","201093","48830","11199","0.0","0.0"
"AL","452111",63,0,63,630,"Department stores (except discount department stores)","934040","119259","27999","6300","0.0","0.0"
"AL","452112",58,4,54,540,"Discount department stores","773614","81834","20831","4899","0.0","0.0"
"AL","4529",1228,68,1154,10828.75,"Other general merchandise stores","9970944","885201","217989","42656","0.2","0.3"
"AL","45291",116,1,115,1150,"Warehouse clubs and supercenters","D","D","D","k","D","D"
"AL","452910",116,1,115,1150,"Warehouse clubs and supercenters","D","D","D","k","D","D"
"AL","45299",1112,67,1039,9678.75,"All other general merchandise stores","D","D","D","i","D","D"
"AL","452990",1112,67,1039,9678.75,"All other general merchandise stores","D","D","D","i","D","D"
"AL","453",1468,133,1235,6199.75,"Miscellaneous store retailers","1116941","166538","40903","8830","21.3","6.4"
"AL","4531",279,39,232,707.25,"Florists","74736","14769","3744","1052","24.5","7.5"
"AL","45311",279,39,232,707.25,"Florists","74736","14769","3744","1052","24.5","7.5"
"AL","453110",279,39,232,707.25,"Florists","74736","14769","3744","1052","24.5","7.5"
"AL","4532",409,44,349,1827,"Office supplies, stationery, and gift stores","390538","54471","13915","2932","18.4","5.1"
"AL","45321",115,11,101,735.75,"Office supplies and stationery stores","260458","30988","8296","1339","5.2","2.4"
"AL","453210",115,11,101,735.75,"Office supplies and stationery stores","260458","30988","8296","1339","5.2","2.4"
"AL","45322",294,38,248,1091.25,"Gift, novelty, and souvenir stores","130080","23483","5619","1593","44.6","10.5"
"AL","453220",294,38,248,1091.25,"Gift, novelty, and souvenir stores","130080","23483","5619","1593","44.6","10.5"
"AL","4533",298,43,243,1138.25,"Used merchandise stores","160502","41693","10308","2528","29.2","8.3"
"AL","45331",298,43,243,1138.25,"Used merchandise stores","160502","41693","10308","2528","29.2","8.3"
"AL","453310",298,43,243,1138.25,"Used merchandise stores","160502","41693","10308","2528","29.2","8.3"
"AL","4539",482,55,411,2527.25,"Other miscellaneous store retailers","491165","55605","12936","2318","20.4","6.6"
"AL","45391",73,9,64,481,"Pet and pet supplies stores","126880","18529","4392","855","6.2","2.0"
"AL","453910",73,9,64,481,"Pet and pet supplies stores","126880","18529","4392","855","6.2","2.0"
"AL","45392",22,3,19,51,"Art dealers","5333","1604","251","50","32.3","17.3"
"AL","453920",22,3,19,51,"Art dealers","5333","1604","251","50","32.3","17.3"
"AL","45393",76,7,68,569.5,"Manufactured (mobile) home dealers","134029","9622","2352","291","31.2","3.3"
"AL","453930",76,7,68,569.5,"Manufactured (mobile) home dealers","134029","9622","2352","291","31.2","3.3"
"AL","45399",311,43,260,1425.75,"All other miscellaneous store retailers","224923","25850","5941","1122","21.8","10.9"
"AL","454",672,81,567,3558.25,"Nonstore retailers","1200098","151324","35939","4466","15.6","12.3"
"AL","4541",205,37,163,1036,"Electronic shopping and mail-order houses","747752","79344","17755","1872","14.4","12.2"
"AL","45411",205,37,163,1036,"Electronic shopping and mail-order houses","747752","79344","17755","1872","14.4","12.2"
"AL","4542",65,12,52,286,"Vending machine operators","88359","16273","3932","516","14.5","2.6"
"AL","45421",65,12,52,286,"Vending machine operators","88359","16273","3932","516","14.5","2.6"
"AL","454210",65,12,52,286,"Vending machine operators","88359","16273","3932","516","14.5","2.6"
"AL","4543",402,47,352,2236.25,"Direct selling establishments","363987","55707","14252","2078","18.3","14.9"
"AL","45431",183,6,177,1351.5,"Fuel dealers","228921","31162","8165","1089","11.1","8.6"
"AL","454310",183,6,177,1351.5,"Fuel dealers","228921","31162","8165","1089","11.1","8.6"
"AL","45439",219,41,175,884.75,"Other direct selling establishments","135066","24545","6087","989","30.6","25.6"
"AL","454390",219,41,175,884.75,"Other direct selling establishments","135066","24545","6087","989","30.6","25.6"
"AR","44-45",10923,261,9716,72919.75,"Retail trade","36815256","3061534","746225","135448","12.6","3.7"
"AR","441",1604,83,1457,11652.75,"Motor vehicle and parts dealers","8558959","634405","153287","17615","18.6","4.9"
"AR","4411",615,46,550,4627.25,"Automobile dealers","7072838","440747","106290","10597","16.7","4.8"
"AR","44111",257,9,247,2347,"New car dealers","6250038","384571","92709","8723","14.7","5.1"
"AR","441110",257,9,247,2347,"New car dealers","6250038","384571","92709","8723","14.7","5.1"
"AR","44112",358,42,303,2280.25,"Used car dealers","822800","56176","13581","1874","31.4","3.0"
"AR","441120",358,42,303,2280.25,"Used car dealers","822800","56176","13581","1874","31.4","3.0"
"AR","4412",178,16,152,1263.75,"Other motor vehicle dealers","521412","46797","10428","1338","21.7","3.9"
"AR","44121",45,7,34,263.5,"Recreational vehicle dealers","146421","11972","2676","290","21.5","7.8"
"AR","441210",45,7,34,263.5,"Recreational vehicle dealers","146421","11972","2676","290","21.5","7.8"
"AR","44122",133,12,118,1000.25,"Motorcycle, boat, and other motor vehicle dealers","374991","34825","7752","1048","21.7","2.4"
"AR","441222",42,6,36,314,"Boat dealers","111603","10766","2383","336","13.8","6.9"
"AR","441228",91,8,82,686.25,"Motorcycle, ATV, and all other motor vehicle dealers","263388","24059","5369","712","25.1","0.4"
"AR","4413",811,47,755,5761.75,"Automotive parts, accessories, and tire stores","964709","146861","36569","5680","31.3","5.7"
"AR","44131",538,26,509,3821,"Automotive parts and accessories stores","582230","86063","21718","3745","21.7","5.1"
"AR","441310",538,26,509,3821,"Automotive parts and accessories stores","582230","86063","21718","3745","21.7","5.1"
"AR","44132",273,24,246,1940.75,"Tire dealers","382479","60798","14851","1935","46.0","6.7"
"AR","441320",273,24,246,1940.75,"Tire dealers","382479","60798","14851","1935","46.0","6.7"
"AR","442",521,37,472,3366.5,"Furniture and home furnishings stores","621598","81269","20175","3387","23.3","3.3"
"AR","4421",275,24,249,1862,"Furniture stores","328902","47922","12176","1610","24.5","3.0"
"AR","44211",275,24,249,1862,"Furniture stores","328902","47922","12176","1610","24.5","3.0"
"AR","442110",275,24,249,1862,"Furniture stores","328902","47922","12176","1610","24.5","3.0"
"AR","4422",246,19,223,1504.5,"Home furnishings stores","292696","33347","7999","1777","21.9","3.6"
"AR","44221",118,5,112,804.25,"Floor covering stores","143186","17073","3989","540","29.7","2.1"
"AR","442210",118,5,112,804.25,"Floor covering stores","143186","17073","3989","540","29.7","2.1"
"AR","44229",128,15,111,700.25,"Other home furnishings stores","149510","16274","4010","1237","14.4","5.0"
"AR","442291",10,2,8,38,"Window treatment stores","5237","1184","328","43","34.4","3.5"
"AR","442299",118,13,103,662.25,"All other home furnishings stores","144273","15090","3682","1194","13.7","5.1"
"AR","443",393,37,348,2176,"Electronics and appliance stores","637039","71031","17369","3457","9.4","9.0"
"AR","4431",393,37,348,2176,"Electronics and appliance stores","637039","71031","17369","3457","9.4","9.0"
"AR","44314",393,37,348,2176,"Electronics and appliance stores","637039","71031","17369","3457","9.4","9.0"
"AR","443141",80,13,67,387,"Household appliance stores","104943","13038","3102","609","21.8","20.3"
"AR","443142",313,28,281,1789,"Electronics stores","532096","57993","14267","2848","7.0","6.8"
"AR","444",969,58,904,6913.5,"Building material and garden equipment and supplies dealers","3021322","315379","77422","11788","11.8","3.2"
"AR","4441",695,42,651,5078.5,"Building material and supplies dealers","2243388","256506","63491","9584","9.2","3.3"
"AR","44411",98,2,96,877.5,"Home centers","1157431","120413","29560","5352","3.5","3.1"
"AR","444110",98,2,96,877.5,"Home centers","1157431","120413","29560","5352","3.5","3.1"
"AR","44412",72,1,71,575.25,"Paint and wallpaper stores","81166","9175","2304","253","5.5","0.3"
"AR","444120",72,1,71,575.25,"Paint and wallpaper stores","81166","9175","2304","253","5.5","0.3"
"AR","44413",171,12,159,1119.25,"Hardware stores","177483","27084","6478","1050","32.7","6.4"
"AR","444130",171,12,159,1119.25,"Hardware stores","177483","27084","6478","1050","32.7","6.4"
"AR","44419",354,29,325,2506.5,"Other building material dealers","827308","99834","25149","2929","12.6","3.3"
"AR","444190",354,29,325,2506.5,"Other building material dealers","827308","99834","25149","2929","12.6","3.3"
"AR","4442",274,20,253,1835,"Lawn and garden equipment and supplies stores","777934","58873","13931","2204","19.1","2.8"
"AR","44421",58,4,54,293.75,"Outdoor power equipment stores","48180","5038","1179","207","35.7","5.8"
"AR","444210",58,4,54,293.75,"Outdoor power equipment stores","48180","5038","1179","207","35.7","5.8"
"AR","44422",216,16,199,1541.25,"Nursery, garden center, and farm supply stores","729754","53835","12752","1997","18.0","2.6"
"AR","444220",216,16,199,1541.25,"Nursery, garden center, and farm supply stores","729754","53835","12752","1997","18.0","2.6"
"AR","445",1041,95,894,6900.25,"Food and beverage stores","3791223","344153","88166","18725","11.6","2.9"
"AR","4451",597,67,511,4220.75,"Grocery stores","3266071","302695","78461","16452","8.4","2.8"
"AR","44511",499,36,455,3890,"Supermarkets and other grocery (except convenience) stores","3201992","298976","77694","16190","7.6","2.7"
"AR","445110",499,36,455,3890,"Supermarkets and other grocery (except convenience) stores","3201992","298976","77694","16190","7.6","2.7"
"AR","44512",98,37,56,330.75,"Convenience stores","64079","3719","767","262","48.0","8.2"
"AR","445120",98,37,56,330.75,"Convenience stores","64079","3719","767","262","48.0","8.2"
"AR","4452",121,21,99,437,"Specialty food stores","51150","8793","2088","550","24.5","7.8"
"AR","4453",323,31,284,2242.5,"Beer, wine, and liquor stores","474002","32665","7617","1723","32.2","2.7"
"AR","44531",323,31,284,2242.5,"Beer, wine, and liquor stores","474002","32665","7617","1723","32.2","2.7"
"AR","445310",323,31,284,2242.5,"Beer, wine, and liquor stores","474002","32665","7617","1723","32.2","2.7"
"AR","446",911,55,818,6415.75,"Health and personal care stores","2164867","270216","64408","8170","23.5","3.2"
"AR","4461",911,55,818,6415.75,"Health and personal care stores","2164867","270216","64408","8170","23.5","3.2"
"AR","44611",547,38,496,4685.25,"Pharmacies and drug stores","1925452","227451","54088","6238","23.6","2.5"
"AR","446110",547,38,496,4685.25,"Pharmacies and drug stores","1925452","227451","54088","6238","23.6","2.5"
"AR","44612",142,20,118,636.25,"Cosmetics, beauty supplies, and perfume stores","91517","11802","2806","815","13.0","13.2"
"AR","446120",142,20,118,636.25,"Cosmetics, beauty supplies, and perfume stores","91517","11802","2806","815","13.0","13.2"
"AR","44613",46,3,43,194.75,"Optical goods stores","25390","4817","1223","207","16.8","0.4"
"AR","446130",46,3,43,194.75,"Optical goods stores","25390","4817","1223","207","16.8","0.4"
"AR","44619",176,10,161,899.5,"Other health and personal care stores","122508","26146","6291","910","30.2","7.4"
"AR","446191",69,5,63,309.5,"Food (health) supplement stores","30834","4521","1074","270","41.5","5.2"
"AR","446199",107,7,98,590,"All other health and personal care stores","91674","21625","5217","640","26.4","8.1"
"AR","447",1568,123,1334,12280.25,"Gasoline stations","6737329","190939","45717","12017","15.6","6.3"
